# X(mm) 	 Y(mm) 	 Z(mm) 	 color
13.5209	-3.02383	61.4763	2
14.841	-2.88054	63.4375	2
16.1611	-2.73725	65.3987	2
17.4812	-2.59396	67.3599	2
18.8013	-2.45067	69.3211	2
20.1213	-2.30738	71.2823	2
21.4414	-2.16409	73.2435	2
22.7615	-2.02081	75.2047	2
24.0816	-1.87752	77.1658	2
2.8	2.6	46.1763	2
4.57346	1.5853	47.374	2
6.34693	0.570604	48.5718	2
8.12039	-0.444095	49.7695	2
9.89385	-1.45879	50.9673	2
11.6673	-2.47349	52.1651	2
13.4408	-3.48819	53.3628	2
15.2142	-4.50289	54.5606	2
16.9877	-5.51759	55.7584	2
18.7612	-6.53228	56.9561	2
20.5346	-7.54698	58.1539	2
22.3081	-8.56168	59.3516	2
24.0816	-9.57638	60.5494	2
25.855	-10.5911	61.7472	2
27.6285	-11.6058	62.9449	2
29.4019	-12.6205	64.1427	2
31.1754	-13.6352	65.3405	2
32.9489	-14.6499	66.5382	2
34.7223	-15.6646	67.736	2
36.4958	-16.6793	68.9337	2
2.4	-2.6	48.9643	-2
2.18958	-2.75505	51.3182	-2
1.97916	-2.91009	53.6722	-2
1.76874	-3.06514	56.0261	-2
1.55832	-3.22018	58.3801	-2
1.3479	-3.37523	60.734	-2
1.13748	-3.53028	63.088	-2
0.927054	-3.68532	65.4419	-2
0.716633	-3.84037	67.7959	-2
0.506213	-3.99542	70.1498	-2
0.295792	-4.15046	72.5038	-2
0.085371	-4.30551	74.8578	-2
-0.12505	-4.46055	77.2117	-2
-0.335471	-4.6156	79.5657	-2
-0.545891	-4.77065	81.9196	-2
-0.756312	-4.92569	84.2736	-2
-0.966733	-5.08074	86.6275	-2
-1.17715	-5.23579	88.9815	-2
-1.38757	-5.39083	91.3354	-2
-1.598	-5.54588	93.6894	-2
-3.8	2	36.4183	2
-5.55203	1.01931	37.6745	2
-7.30407	0.0386173	38.9307	2
-9.0561	-0.942074	40.1869	2
-10.8081	-1.92277	41.4431	2
-12.5602	-2.90346	42.6993	2
-14.3122	-3.88415	43.9555	2
-16.0642	-4.86484	45.2117	2
-17.8163	-5.84553	46.4679	2
-19.5683	-6.82622	47.7241	2
-21.3203	-7.80691	48.9803	2
-23.0724	-8.7876	50.2365	2
-24.8244	-9.7683	51.4927	2
-26.5764	-10.749	52.7489	2
-28.3285	-11.7297	54.0051	2
-30.0805	-12.7104	55.2613	2
-31.8325	-13.6911	56.5175	2
-33.5846	-14.6718	57.7737	2
-35.3366	-15.6524	59.0299	2
-37.0886	-16.6331	60.2861	2
-0.2	4	43.214	2
0.57173	5.67952	41.7331	2
1.34346	7.35904	40.2522	2
2.11519	9.03856	38.7713	2
2.88692	10.7181	37.2904	2
3.65865	12.3976	35.8095	2
4.43038	14.0771	34.3286	2
5.20211	15.7566	32.8477	2
5.97384	17.4362	31.3668	2
6.74557	19.1157	29.8859	2
7.5173	20.7952	28.405	2
8.28903	22.4747	26.9241	2
9.06076	24.1542	25.4432	2
9.83249	25.8338	23.9623	2
10.6042	27.5133	22.4814	2
11.376	29.1928	21.0005	2
12.1477	30.8723	19.5196	2
12.9194	32.5519	18.0387	2
13.6911	34.2314	16.5578	2
14.4629	35.9109	15.0769	2
0.8	-4.6	53.8433	2
0.913285	-4.90964	51.4979	2
1.02657	-5.21929	49.1525	2
1.13985	-5.52893	46.8072	2
1.25314	-5.83857	44.4618	2
1.36642	-6.14822	42.1165	2
1.47971	-6.45786	39.7711	2
1.59299	-6.7675	37.4257	2
1.70628	-7.07714	35.0804	2
1.81956	-7.38679	32.735	2
1.93285	-7.69643	30.3897	2
2.04613	-8.00607	28.0443	2
2.15942	-8.31572	25.6989	2
2.2727	-8.62536	23.3536	2
2.38598	-8.935	21.0082	2
